Routine A,Routine B,Routine C,Routine D,Routine E,Routine F,Routine G,Routine H,Routine I,Routine J,Routine K,Routine L,Routine M,Routine N,Routine O,Routine P,Routine Q,Routine R,Routine S,Routine T,Routine U,Routine V,Routine W,Routine X,Routine Y,Routine Z,Routine AA,Routine AB,Routine AC,Routine AD,Routine AE,Routine AF,Routine AG,Routine AH,Routine AI,Routine AJ,Routine AK,Routine AL,Routine AM
Performer 1,Performer 2,Performer 2,Performer 3,Performer 3,Performer 4,Performer 1,Performer 3,Performer 5,Performer 6,Performer 7,Performer 8,Performer 9,Performer 1,Performer 6,Performer 1,Performer 10,Performer 11,Performer 3,Performer 8,Performer 6,Performer 5,Performer 3,Performer 12,Performer 3,Performer 13,Performer 3,Performer 14,Performer 2,Performer 15,Performer 16,Performer 17,Performer 18,Performer 19,Performer 20,Performer 21,Performer 22,Performer 23,Performer 12
Performer 6,Performer 24,Performer 24,Performer 25,Performer 25,Performer 26,Performer 27,Performer 24,Performer 2,Performer 28,Performer 11,Performer 29,Performer 30,Performer 7,Performer 7,Performer 5,Performer 20,Performer 29,Performer 2,Performer 31,Performer 25,Performer 2,Performer 27,Performer 32,Performer 5,Performer 33,Performer 27,Performer 34,,,Performer 35,,,,Performer 36,Performer 37,,,Performer 38
Performer 3,Performer 17,Performer 17,Performer 10,Performer 10,Performer 39,Performer 40,Performer 41,Performer 42,Performer 25,Performer 43,Performer 20,Performer 44,Performer 12,Performer 11,Performer 2,Performer 17,Performer 31,Performer 25,Performer 24,Performer 9,Performer 24,Performer 11,Performer 45,Performer 43,Performer 23,Performer 5,,,,,,,,,,,,
Performer 27,Performer 36,Performer 36,Performer 32,Performer 32,Performer 8,Performer 31,Performer 46,Performer 17,Performer 10,Performer 47,Performer 13,Performer 48,Performer 47,Performer 13,Performer 12,Performer 32,Performer 9,Performer 17,Performer 48,Performer 10,Performer 17,Performer 25,Performer 49,Performer 20,Performer 41,Performer 25,,,,,,,,,,,,
Performer 5,Performer 50,Performer 50,Performer 51,Performer 51,Performer 52,Performer 9,Performer 23,Performer 30,Performer 44,Performer 12,Performer 53,Performer 51,Performer 42,Performer 54,Performer 29,Performer 36,Performer 13,Performer 55,Performer 51,Performer 20,Performer 36,Performer 8,Performer 56,Performer 33,Performer 49,Performer 17,,,,,,,,,,,,
Performer 7,Performer 57,Performer 57,Performer 58,Performer 58,Performer 20,Performer 48,Performer 59,Performer 14,Performer 60,Performer 61,Performer 33,Performer 62,Performer 30,Performer 60,Performer 17,Performer 63,Performer 53,Performer 32,Performer 64,Performer 23,Performer 58,Performer 20,Performer 65,Performer 41,Performer 66,Performer 48,,,,,,,,,,,,
Performer 40,Performer 67,Performer 67,Performer 68,Performer 68,Performer 69,Performer 70,Performer 71,Performer 32,Performer 38,Performer 72,Performer 55,Performer 73,Performer 74,Performer 14,Performer 30,Performer 75,Performer 48,Performer 51,Performer 68,Performer 76,Performer 63,Performer 60,Performer 75,Performer 36,Performer 65,Performer 76,,,,,,,,,,,,
Performer 25,Performer 77,Performer 77,Performer 23,Performer 23,Performer 55,Performer 78,Performer 79,Performer 64,Performer 51,Performer 49,Performer 54,Performer 80,Performer 49,Performer 45,Performer 33,Performer 57,Performer 54,Performer 64,Performer 81,Performer 32,Performer 71,Performer 41,Performer 80,Performer 68,Performer 73,Performer 82,,,,,,,,,,,,
Performer 47,Performer 16,Performer 16,Performer 63,Performer 63,Performer 83,Performer 74,Performer 73,Performer 84,Performer 68,Performer 85,Performer 76,Performer 86,Performer 82,Performer 87,Performer 32,Performer 16,Performer 14,Performer 84,Performer 66,Performer 36,Performer 50,Performer 64,Performer 18,Performer 66,Performer 75,Performer 88,,,,,,,,,,,,
Performer 31,Performer 19,Performer 19,Performer 71,Performer 71,Performer 89,Performer 87,Performer 90,Performer 58,Performer 91,Performer 15,Performer 36,Performer 92,Performer 93,Performer 85,Performer 36,Performer 15,Performer 76,Performer 88,Performer 94,Performer 58,Performer 57,Performer 68,Performer 95,Performer 50,Performer 18,Performer 96,,,,,,,,,,,,
